feature,modality,gene_symbol,selection_reason,training_variance
expr::LUM (4060),expression,LUM,variance,6.285743236541748
expr::ARHGDIB (397),expression,ARHGDIB,variance,6.279989719390869
expr::CCDC80 (151887),expression,CCDC80,variance,6.265870571136475
expr::TUSC3 (7991),expression,TUSC3,variance,6.252642631530762
expr::PRSS3 (5646),expression,PRSS3,variance,6.24888801574707
expr::ASS1 (445),expression,ASS1,variance,6.2464494705200195
expr::RAB34 (83871),expression,RAB34,variance,6.244060039520264
expr::MCAM (4162),expression,MCAM,variance,6.227188587188721
expr::LY6K (54742),expression,LY6K,variance,6.214207172393799
expr::LDHB (3945),expression,LDHB,variance,6.2138590812683105
expr::ANXA8L1 (728113),expression,ANXA8L1,variance,6.190723896026611
expr::CD70 (970),expression,CD70,variance,6.176815986633301
expr::AKR1B1 (231),expression,AKR1B1,variance,6.166779518127441
expr::HLA-B (3106),expression,HLA-B,variance,6.1658854484558105
expr::PTX3 (5806),expression,PTX3,variance,6.150846004486084
expr::STC2 (8614),expression,STC2,variance,6.131846904754639
expr::DPYSL3 (1809),expression,DPYSL3,variance,6.119638919830322
expr::TSTD1 (100131187),expression,TSTD1,variance,6.118500709533691
expr::NUPR1 (26471),expression,NUPR1,variance,6.108646869659424
expr::EMP1 (2012),expression,EMP1,variance,6.096314907073975
expr::EPS8L2 (64787),expression,EPS8L2,variance,6.095185279846191
expr::TFPI (7035),expression,TFPI,variance,6.089584827423096
expr::LAMB3 (3914),expression,LAMB3,variance,6.076981544494629
expr::QPCT (25797),expression,QPCT,variance,6.064934253692627
expr::MME (4311),expression,MME,variance,6.044273853302002
expr::KLK10 (5655),expression,KLK10,variance,6.035484313964844
expr::GYPC (2995),expression,GYPC,variance,6.02678918838501
expr::KRT14 (3861),expression,KRT14,variance,6.002481937408447
expr::CCN2 (1490),expression,CCN2,variance,5.9994096755981445
expr::LCP1 (3936),expression,LCP1,variance,5.994931697845459
expr::MEST (4232),expression,MEST,variance,5.978348255157471
expr::PDLIM4 (8572),expression,PDLIM4,variance,5.971884250640869
expr::FST (10468),expression,FST,variance,5.971409320831299
expr::CXCL5 (6374),expression,CXCL5,variance,5.960282325744629
expr::GSTP1 (2950),expression,GSTP1,variance,5.94931697845459
expr::COL11A1 (1301),expression,COL11A1,variance,5.94451379776001
expr::VAMP8 (8673),expression,VAMP8,variance,5.939034461975098
expr::LYZ (4069),expression,LYZ,variance,5.915412425994873
expr::CD68 (968),expression,CD68,variance,5.909428119659424
expr::COL5A1 (1289),expression,COL5A1,variance,5.872994899749756
expr::FBLN1 (2192),expression,FBLN1,variance,5.871335506439209
expr::COL12A1 (1303),expression,COL12A1,variance,5.869923114776611
expr::AQP3 (360),expression,AQP3,variance,5.860490798950195
expr::AP1M2 (10053),expression,AP1M2,variance,5.847640514373779
expr::MAGEA2 (4101),expression,MAGEA2,variance,5.847625255584717
expr::CAV2 (858),expression,CAV2,variance,5.841129302978516
expr::TCIM (56892),expression,TCIM,variance,5.838024616241455
expr::TNS4 (84951),expression,TNS4,variance,5.827633857727051
expr::GPX3 (2878),expression,GPX3,variance,5.822160243988037
expr::S100A1 (6271),expression,S100A1,variance,5.816797733306885
expr::EIF1AY (9086),expression,EIF1AY,variance,5.797776699066162
expr::FBN1 (2200),expression,FBN1,variance,5.79293155670166
expr::SRPX (8406),expression,SRPX,variance,5.788763999938965
expr::TUBA1A (7846),expression,TUBA1A,variance,5.747121810913086
expr::PRSS22 (64063),expression,PRSS22,variance,5.7377448081970215
expr::CSAG1 (158511),expression,CSAG1,variance,5.734453201293945
expr::MST1R (4486),expression,MST1R,variance,5.732831954956055
expr::CADM1 (23705),expression,CADM1,variance,5.73064661026001
expr::DDX3Y (8653),expression,DDX3Y,variance,5.730441093444824
expr::RAMP1 (10267),expression,RAMP1,variance,5.728349685668945
expr::RHOD (29984),expression,RHOD,variance,5.722190856933594
expr::TNFAIP2 (7127),expression,TNFAIP2,variance,5.718996047973633
expr::P3H2 (55214),expression,P3H2,variance,5.702099800109863
expr::PDZK1IP1 (10158),expression,PDZK1IP1,variance,5.681321144104004
expr::CDA (978),expression,CDA,variance,5.672792911529541
expr::SLC2A3 (6515),expression,SLC2A3,variance,5.667693614959717
expr::CYP24A1 (1591),expression,CYP24A1,variance,5.667677402496338
expr::IL1A (3552),expression,IL1A,variance,5.659629821777344
expr::LOX (4015),expression,LOX,variance,5.6499810218811035
expr::BCAT1 (586),expression,BCAT1,variance,5.645040512084961
expr::MFAP5 (8076),expression,MFAP5,variance,5.63815450668335
expr::MYEOV (26579),expression,MYEOV,variance,5.638083457946777
expr::PLBD1 (79887),expression,PLBD1,variance,5.635655879974365
expr::SNCG (6623),expression,SNCG,variance,5.616992473602295
expr::CTHRC1 (115908),expression,CTHRC1,variance,5.5992207527160645
expr::TNFSF10 (8743),expression,TNFSF10,variance,5.597826957702637
expr::TNFRSF6B (8771),expression,TNFRSF6B,variance,5.575223922729492
expr::GAL (51083),expression,GAL,variance,5.558942794799805
expr::IRF6 (3664),expression,IRF6,variance,5.541006565093994
expr::MUC1 (4582),expression,MUC1,variance,5.54076623916626
expr::ABCC3 (8714),expression,ABCC3,variance,5.534040927886963
expr::CALB1 (793),expression,CALB1,variance,5.533560752868652
expr::MIA (8190),expression,MIA,variance,5.532628536224365
expr::ANXA6 (309),expression,ANXA6,variance,5.516946315765381
expr::SELENBP1 (8991),expression,SELENBP1,variance,5.516923427581787
expr::GSTM3 (2947),expression,GSTM3,variance,5.515567302703857
expr::SERPINA3 (12),expression,SERPINA3,variance,5.510134220123291
expr::IGFBP6 (3489),expression,IGFBP6,variance,5.489623546600342
expr::TUBB2B (347733),expression,TUBB2B,variance,5.4642534255981445
expr::LDOC1 (23641),expression,LDOC1,variance,5.452311038970947
expr::TUBA4A (7277),expression,TUBA4A,variance,5.4469218254089355
expr::FKBP10 (60681),expression,FKBP10,variance,5.432842254638672
expr::COL6A1 (1291),expression,COL6A1,variance,5.430626392364502
expr::GALNT3 (2591),expression,GALNT3,variance,5.413931369781494
expr::ERBB3 (2065),expression,ERBB3,variance,5.412533760070801
expr::SFRP1 (6422),expression,SFRP1,variance,5.412472724914551
expr::CAPG (822),expression,CAPG,variance,5.408308506011963
expr::SELENOP (6414),expression,SELENOP,variance,5.407901763916016
expr::TMEM98 (26022),expression,TMEM98,variance,5.4013752937316895
expr::FHL1 (2273),expression,FHL1,variance,5.3958539962768555
expr::IGF2 (3481),expression,IGF2,variance,5.394891738891602
expr::PMP22 (5376),expression,PMP22,variance,5.3904643058776855
expr::NT5E (4907),expression,NT5E,variance,5.385517120361328
expr::CLU (1191),expression,CLU,variance,5.380894184112549
expr::CCN1 (3491),expression,CCN1,variance,5.371974945068359
expr::DSP (1832),expression,DSP,variance,5.350712299346924
expr::E2F1 (1869),expression,E2F1,biology,0.6064241528511047
expr::CDK6 (1021),expression,CDK6,biology,1.8037446737289429
expr::CCND1 (595),expression,CCND1,biology,2.042484998703003
expr::CCND3 (896),expression,CCND3,biology,0.9794668555259705
expr::CCND2 (894),expression,CCND2,biology,2.6859700679779053
expr::CDK4 (1019),expression,CDK4,biology,0.7741206288337708
expr::RB1 (5925),expression,RB1,biology,0.8951582908630371
expr::TP53 (7157),expression,TP53,biology,1.7074424028396606
expr::CDKN2B (1030),expression,CDKN2B,biology,3.8825299739837646
mut::hotspot::TP53 (7157),mutations,TP53,variance+biology,0.9020981192588806
mut::damaging::TP53 (7157),mutations,TP53,variance+biology,0.7883331775665283
mut::damaging::PTEN (5728),mutations,PTEN,variance,0.3920864462852478
mut::damaging::CDKN2A (1029),mutations,CDKN2A,variance+biology,0.3760138750076294
mut::hotspot::KRAS (3845),mutations,KRAS,variance,0.37224268913269043
mut::damaging::SMARCA4 (6597),mutations,SMARCA4,variance,0.304151326417923
mut::damaging::ARID1A (8289),mutations,ARID1A,variance,0.29849451780319214
mut::damaging::TTN (7273),mutations,TTN,variance,0.29723742604255676
mut::hotspot::TERT (7015),mutations,TERT,variance,0.26706773042678833
mut::damaging::SPATA22 (84690),mutations,SPATA22,variance,0.25243183970451355
mut::damaging::RB1 (5925),mutations,RB1,variance+biology,0.24417108297348022
mut::damaging::NF1 (4763),mutations,NF1,variance,0.23145072162151337
mut::damaging::SMAD4 (4089),mutations,SMAD4,variance,0.21723385155200958
mut::damaging::ACVR2A (92),mutations,ACVR2A,variance,0.198796808719635
mut::damaging::STK11 (6794),mutations,STK11,variance,0.19451677799224854
mut::damaging::KMT2D (8085),mutations,KMT2D,variance,0.19065576791763306
mut::damaging::EP300 (2033),mutations,EP300,variance,0.1832929253578186
mut::damaging::APC (324),mutations,APC,variance,0.18206578493118286
mut::damaging::PDS5B (23047),mutations,PDS5B,variance,0.17733681201934814
mut::damaging::LINC02900 (340073),mutations,LINC02900,variance,0.17718715965747833
mut::damaging::NF2 (4771),mutations,NF2,variance,0.17281733453273773
mut::damaging::TGFBR2 (7048),mutations,TGFBR2,variance,0.17126096785068512
mut::damaging::SLK (9748),mutations,SLK,variance,0.16967466473579407
mut::damaging::KMT2C (58508),mutations,KMT2C,variance,0.14932207763195038
mut::damaging::JAK1 (3716),mutations,JAK1,variance,0.141300767660141
mut::damaging::BCORL1 (63035),mutations,BCORL1,variance,0.1400436908006668
mut::hotspot::BRAF (673),mutations,BRAF,variance,0.13857711851596832
mut::damaging::SPAG8 (26206),mutations,SPAG8,variance,0.13681122660636902
mut::hotspot::CDKN2A (1029),mutations,CDKN2A,variance+biology,0.1335488259792328
mut::hotspot::PIK3CA (5290),mutations,PIK3CA,variance,0.12507857382297516
mut::damaging::MUC16 (94025),mutations,MUC16,variance,0.12316302955150604
mut::hotspot::PTEN (5728),mutations,PTEN,variance,0.12250456213951111
mut::damaging::MBD6 (114785),mutations,MBD6,variance,0.11999042332172394
mut::damaging::DMD (1756),mutations,DMD,variance,0.11918230354785919
mut::damaging::DOCK3 (1795),mutations,DOCK3,variance,0.1167878806591034
mut::damaging::MUC19 (283463),mutations,MUC19,variance,0.11391457915306091
mut::damaging::SPANXN4 (441525),mutations,SPANXN4,variance,0.11244799941778183
