feature,mean_abs_shap
expression__expr::AQP3 (360),0.0
expression__expr::FGB (2244),0.0
mutations__mut::damaging::ACVR2A (92),0.0
mutations__mut::damaging::LINC02900 (340073),0.0
mutations__mut::damaging::TGFBR2 (7048),0.0
mutations__mut::hotspot::CDKN2A (1029),0.0
mutations__mut::damaging::EP300 (2033),0.0
mutations__mut::damaging::RB1 (5925),0.0
mutations__mut::damaging::KMT2D (8085),0.0
mutations__mut::damaging::SPATA22 (84690),0.0
mutations__mut::damaging::NF1 (4763),0.0
mutations__mut::hotspot::TERT (7015),0.0
mutations__mut::damaging::TTN (7273),0.0
mutations__mut::damaging::PTEN (5728),0.0
mutations__mut::damaging::SMARCA4 (6597),0.0
mutations__mut::damaging::ARID1A (8289),0.0
mutations__mut::hotspot::KRAS (3845),0.0
expression__expr::IGFBP6 (3489),0.0
expression__expr::MYEOV (26579),0.0
expression__expr::P3H2 (55214),0.0
expression__expr::PRSS22 (64063),0.0
expression__expr::GALNT3 (2591),0.0
expression__expr::PTN (5764),0.0
expression__expr::IL1A (3552),0.0
expression__expr::KRT19 (3880),0.0
mutations__mut::damaging::CDKN2A (1029),0.0
expression__expr::TUBB2B (347733),0.0
expression__expr::MFAP2 (4237),0.0
expression__expr::IRF6 (3664),0.0
expression__expr::APOL1 (8542),0.0
expression__expr::NT5C2 (22978),0.0
expression__expr::CMPK1 (51727),0.0
expression__expr::RRM1 (6240),0.0
expression__expr::TYMS (7298),0.0
expression__expr::CDH11 (1009),0.0
expression__expr::EMP3 (2014),0.0
expression__expr::PTGES (9536),0.0
expression__expr::MME (4311),0.0
expression__expr::CD70 (970),0.0
expression__expr::COL5A1 (1289),0.0
expression__expr::FBN1 (2200),0.0
expression__expr::LOX (4015),0.0
expression__expr::ACKR3 (57007),0.0
expression__expr::FBLN1 (2192),0.0
expression__expr::LAMB3 (3914),0.0
expression__expr::IFI44 (10561),0.0
expression__expr::GYPC (2995),0.0
expression__expr::IFI16 (3428),0.0
expression__expr::APOE (348),0.0
expression__expr::CPA4 (51200),0.0
expression__expr::CES1 (1066),0.0
expression__expr::GAGE12F (100008586),0.0
expression__expr::ADGRF1 (266977),0.0
expression__expr::IFITM2 (10581),0.0
expression__expr::CRABP2 (1382),0.0
expression__expr::IGFBP4 (3487),0.0
expression__expr::CEACAM6 (4680),0.0
expression__expr::MMP7 (4316),0.0
expression__expr::TSTD1 (100131187),0.0
expression__expr::MAGEA12 (4111),0.0
expression__expr::MPZL2 (10205),0.0
expression__expr::SNCA (6622),0.0
expression__expr::MMP14 (4323),0.0
expression__expr::GPRC5A (9052),0.0
expression__expr::KLK6 (5653),0.0
expression__expr::GSTP1 (2950),0.0
expression__expr::CDH2 (1000),0.0
expression__expr::ANPEP (290),0.0
expression__expr::CADM1 (23705),0.0
expression__expr::IL1B (3553),0.0
expression__expr::LCP1 (3936),0.0
expression__expr::CXCL5 (6374),0.0
expression__expr::JUP (3728),0.0
expression__expr::EIF1AY (9086),0.0
expression__expr::TUBA4A (7277),0.0
expression__expr::COL12A1 (1303),0.0
expression__expr::RHOD (29984),0.0
expression__expr::TUSC3 (7991),0.0
expression__expr::DPYSL3 (1809),0.0
expression__expr::WFDC2 (10406),0.0
expression__expr::EPS8L2 (64787),0.0
expression__expr::ANXA8L1 (728113),0.0
expression__expr::PTX3 (5806),0.0
expression__expr::ARHGDIB (397),0.0
expression__expr::PRSS3 (5646),0.0
expression__expr::LSR (51599),0.0
expression__expr::TMPRSS4 (56649),0.0
expression__expr::PI3 (5266),0.0
expression__expr::SERPINA1 (5265),0.0
expression__expr::EMP1 (2012),0.0
expression__expr::HLA-B (3106),0.0
expression__expr::TCIM (56892),0.0
expression__expr::ASS1 (445),0.0
expression__expr::PLOD2 (5352),0.0
expression__expr::DDX3Y (8653),0.0
expression__expr::TFF1 (7031),0.0
expression__expr::VAMP8 (8673),0.0
expression__expr::L1CAM (3897),0.0
expression__expr::CD68 (968),0.0
expression__expr::TNFRSF6B (8771),0.0
expression__expr::CCN2 (1490),0.0
