feature,mean_abs_shap
copy_number__cn::FGF19 (9965),0.0
copy_number__cn::TCAP (8557),0.0
copy_number__cn::ETFRF1 (144363),0.0
copy_number__cn::YAP1 (10413),0.0
copy_number__cn::ENSG00000287725,0.0
copy_number__cn::OR4C6 (219432),0.0
copy_number__cn::RNF139 (11236),0.0
copy_number__cn::GUCA1B (2979),0.0
copy_number__cn::SLC1A2 (6506),0.0
copy_number__cn::MTAP (4507),0.0
copy_number__cn::IGHMBP2 (3508),0.0
copy_number__cn::DMRTA1 (63951),0.0
copy_number__cn::TAF8 (129685),0.0
copy_number__cn::SIGLEC14 (100049587),0.0
copy_number__cn::TPCN2 (219931),0.0
copy_number__cn::PDHX (8050),0.0
copy_number__cn::MYCL (4610),0.0
copy_number__cn::OR4K5 (79317),0.0
copy_number__cn::P3H4 (10609),0.0
copy_number__cn::ORMDL3 (94103),0.0
copy_number__cn::CD44 (960),0.0
copy_number__cn::CSF3 (1440),0.0
copy_number__cn::MRGPRD (116512),0.0
copy_number__cn::GSDMB (55876),0.0
copy_number__cn::LRRC3C (100505591),0.0
copy_number__cn::MRGPRF (116535),0.0
copy_number__cn::TRIB1 (10221),0.0
copy_number__cn::NT5C3B (115024),0.0
copy_number__cn::SIGLEC5 (8778),0.0
copy_number__cn::OR4P4 (81300),0.0
copy_number__cn::ENSG00000268500,0.0
copy_number__cn::OR4S2 (219431),0.0
copy_number__cn::FKBP10 (60681),0.0
copy_number__cn::KRAS (3845),0.0
copy_number__cn::OR4C11 (219429),0.0
copy_number__cn::GSDMA (284110),0.0
expression__expr::C15orf48 (84419),0.0
expression__expr::S100B (6285),0.0
expression__expr::EHF (26298),0.0
expression__expr::SPINT1 (6692),0.0
expression__expr::MGST1 (4257),0.0
expression__expr::IGFBP2 (3485),0.0
expression__expr::CRYAB (1410),0.0
expression__expr::COL6A3 (1293),0.0
expression__expr::COL4A1 (1282),0.0
expression__expr::G0S2 (50486),0.0
expression__expr::ANXA3 (306),0.0
expression__expr::ANXA8 (653145),0.0
expression__expr::CXCL8 (3576),0.0
expression__expr::MLPH (79083),0.0
expression__expr::FOS (2353),0.0
expression__expr::EDIL3 (10085),0.0
expression__expr::CXCL1 (2919),0.0
expression__expr::SAA1 (6288),0.0
expression__expr::C3 (718),0.0
expression__expr::CST6 (1474),0.0
expression__expr::GPNMB (10457),0.0
expression__expr::TSPAN8 (7103),0.0
expression__expr::COL3A1 (1281),0.0
expression__expr::LOXL2 (4017),0.0
expression__expr::SPOCK1 (6695),0.0
expression__expr::THBS1 (7057),0.0
expression__expr::CCL2 (6347),0.0
expression__expr::CDH3 (1001),0.0
expression__expr::CYBA (1535),0.0
expression__expr::SRGN (5552),0.0
expression__expr::FGFBP1 (9982),0.0
expression__expr::SMIM22 (440335),0.0
expression__expr::TPM2 (7169),0.0
expression__expr::AXL (558),0.0
expression__expr::SCNN1A (6337),0.0
expression__expr::MAGEA12 (4111),0.0
expression__expr::IFI16 (3428),0.0
expression__expr::TM4SF1 (4071),0.0
expression__expr::IGFBP4 (3487),0.0
expression__expr::MMP7 (4316),0.0
expression__expr::AKR1B1 (231),0.0
expression__expr::FBN1 (2200),0.0
expression__expr::ANXA8L1 (728113),0.0
expression__expr::IL18 (3606),0.0
expression__expr::FST (10468),0.0
expression__expr::IL32 (9235),0.0
expression__expr::DKK3 (27122),0.0
expression__expr::LAD1 (3898),0.0
expression__expr::DMKN (93099),0.0
expression__expr::SERPINB5 (5268),0.0
expression__expr::ITGB4 (3691),0.0
expression__expr::KRT18 (3875),0.0
expression__expr::CD70 (970),0.0
expression__expr::TSPAN1 (10103),0.0
expression__expr::PRSS8 (5652),0.0
expression__expr::COL5A2 (1290),0.0
expression__expr::CLDN1 (9076),0.0
expression__expr::COL4A2 (1284),0.0
expression__expr::COL17A1 (1308),0.0
expression__expr::ESRP1 (54845),0.0
expression__expr::PLAC8 (51316),0.0
expression__expr::CAV1 (857),0.0
expression__expr::COL5A1 (1289),0.0
expression__expr::RAB25 (57111),0.0
expression__expr::IGFBP7 (3490),0.0
expression__expr::MAL2 (114569),0.0
expression__expr::EFEMP1 (2202),0.0
expression__expr::CDKN2A (1029),0.0
expression__expr::TGFBI (7045),0.0
expression__expr::ALDH1A1 (216),0.0
expression__expr::NNMT (4837),0.0
expression__expr::VIM (7431),0.0
expression__expr::THY1 (7070),0.0
expression__expr::GPX2 (2877),0.0
expression__expr::LCN2 (3934),0.0
expression__expr::C19orf33 (64073),0.0
expression__expr::SPINT2 (10653),0.0
expression__expr::KLK6 (5653),0.0
expression__expr::EPCAM (4072),0.0
copy_number__cn::MAP2K2 (5605),0.0
signatures__sig::Aneuploidy,0.0
expression__expr::AKR1C1 (1645),0.0
copy_number__cn::KLHL38 (340359),0.0
expression__expr::S100A14 (57402),0.0
expression__expr::RPS4Y1 (6192),0.0
expression__expr::IFI27 (3429),0.0
expression__expr::FN1 (2335),0.0
expression__expr::COL1A2 (1278),0.0
expression__expr::KRT7 (3855),0.0
expression__expr::MT1E (4493),0.0
expression__expr::KRT5 (3852),0.0
expression__expr::TACSTD2 (4070),0.0
expression__expr::KRT17 (3872),0.0
expression__expr::S100P (6286),0.0
expression__expr::COL6A2 (1292),0.0
expression__expr::AKR1B10 (57016),0.0
expression__expr::TNC (3371),0.0
expression__expr::F3 (2152),0.0
expression__expr::S100A9 (6280),0.0
expression__expr::TINAGL1 (64129),0.0
expression__expr::MYL9 (10398),0.0
expression__expr::GJA1 (2697),0.0
