drug,family,fold,n_candidates,radius_90,sensitive_max,resistant_min,class_band_width,prediction_min,prediction_max,maximum_supportable_radius,first_support_radius_scale,n_interval_support_90,n_technical_support_90,n_margin_pass,nominal_coverage_at_first_support,coverage_status
palbociclib,lineage,1,74,0.2819335044782895,0.8476627647957431,1.0,0.1523372352042569,0.8665336370303645,1.155738650525051,,,0,0,0,,Unavailable: original fold calibration residuals were not saved
palbociclib,lineage,2,74,0.48345246275139075,0.8476627647957431,1.0,0.1523372352042569,0.8461939904134188,1.3238927684144552,,,0,0,0,,Unavailable: original fold calibration residuals were not saved
palbociclib,lineage,3,74,0.31231759368765794,0.8478017657625909,1.0,0.15219823423740908,0.8797177140037151,1.037578582092177,,,0,0,0,,Unavailable: original fold calibration residuals were not saved
palbociclib,lineage,4,74,0.38699190123157434,0.8437704078594008,1.0,0.15622959214059917,0.8593502460532615,1.053763156207425,0.053763156207425,0.1389257915639257,0,0,9,,Unavailable: original fold calibration residuals were not saved
palbociclib,lineage,5,74,0.27133612166536164,0.8469348068101752,1.0084826866631225,0.16154787985294727,0.8946812535736477,1.1792012329570598,,,0,0,0,,Unavailable: original fold calibration residuals were not saved
palbociclib,xgboost,1,74,0.29677452775718105,0.8476627647957431,1.0,0.1523372352042569,0.7896432876586914,1.3109287023544312,0.31092870235443115,1.0476933606944565,1,1,4,,Unavailable: original fold calibration residuals were not saved
palbociclib,xgboost,2,74,0.42701817777489026,0.8476627647957431,1.0,0.1523372352042569,0.7986124753952026,1.1361225843429563,0.13612258434295632,0.31877468320497493,0,0,2,,Unavailable: original fold calibration residuals were not saved
palbociclib,xgboost,3,74,0.2628592227845963,0.8478017657625909,1.0,0.15219823423740908,0.837304413318634,1.1951676607131958,0.1951676607131958,0.7424797906867767,0,0,31,,Unavailable: original fold calibration residuals were not saved
palbociclib,xgboost,4,74,0.32500675411725816,0.8437704078594008,1.0,0.15622959214059917,0.8421375155448914,1.2070168256759644,,,0,0,0,,Unavailable: original fold calibration residuals were not saved
palbociclib,xgboost,5,74,0.2764560422019132,0.8469348068101752,1.0084826866631225,0.16154787985294727,0.8049575686454773,1.1984790563583374,0.041977238164697894,0.15184055240883212,0,0,3,,Unavailable: original fold calibration residuals were not saved
trametinib,elastic_net,1,75,0.26726819351760295,0.6391224711600416,0.9112638657586372,0.27214139459859554,0.4775760601669236,1.001707800878044,0.161546410993118,0.6044356003120069,0,0,61,,Unavailable: original fold calibration residuals were not saved
trametinib,elastic_net,2,75,0.2582178986197941,0.6418011611733068,0.9131505213787036,0.2713493602053968,0.5029913304971607,1.014093904796883,0.13880983067614605,0.5375685861363655,0,0,65,,Unavailable: original fold calibration residuals were not saved
trametinib,elastic_net,3,75,0.31659635431566946,0.645707916853427,0.9131459773317938,0.2674380604783668,0.5785021610249648,0.984463622669821,0.0713176453380272,0.22526363416970482,0,0,60,,Unavailable: original fold calibration residuals were not saved
