drug,family,radius_scale,n_technical_support,n_candidates,selection_fraction,interpretation
olaparib,xgboost,0.7000000000000001,0,374,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
olaparib,xgboost,0.75,0,374,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
olaparib,xgboost,0.8,0,374,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
olaparib,xgboost,0.8500000000000001,0,374,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
olaparib,xgboost,0.9,0,374,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
olaparib,xgboost,0.9500000000000001,0,374,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
olaparib,xgboost,1.0,0,374,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,elastic_net,0.0,98,370,0.2648648648648649,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,elastic_net,0.05,82,370,0.22162162162162163,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,elastic_net,0.1,65,370,0.17567567567567569,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,elastic_net,0.15000000000000002,52,370,0.14054054054054055,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,elastic_net,0.2,40,370,0.10810810810810811,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,elastic_net,0.25,35,370,0.0945945945945946,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,elastic_net,0.30000000000000004,25,370,0.06756756756756757,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,elastic_net,0.35000000000000003,19,370,0.051351351351351354,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,elastic_net,0.4,19,370,0.051351351351351354,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,elastic_net,0.45,15,370,0.04054054054054054,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,elastic_net,0.5,12,370,0.032432432432432434,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,elastic_net,0.55,9,370,0.024324324324324326,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,elastic_net,0.6000000000000001,7,370,0.01891891891891892,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,elastic_net,0.65,6,370,0.016216216216216217,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,elastic_net,0.7000000000000001,5,370,0.013513513513513514,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,elastic_net,0.75,4,370,0.010810810810810811,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,elastic_net,0.8,2,370,0.005405405405405406,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,elastic_net,0.8500000000000001,2,370,0.005405405405405406,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,elastic_net,0.9,2,370,0.005405405405405406,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,elastic_net,0.9500000000000001,1,370,0.002702702702702703,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,elastic_net,1.0,1,370,0.002702702702702703,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,lineage,0.0,9,370,0.024324324324324326,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,lineage,0.05,6,370,0.016216216216216217,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,lineage,0.1,6,370,0.016216216216216217,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,lineage,0.15000000000000002,0,370,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,lineage,0.2,0,370,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,lineage,0.25,0,370,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,lineage,0.30000000000000004,0,370,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,lineage,0.35000000000000003,0,370,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,lineage,0.4,0,370,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,lineage,0.45,0,370,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,lineage,0.5,0,370,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,lineage,0.55,0,370,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,lineage,0.6000000000000001,0,370,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,lineage,0.65,0,370,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,lineage,0.7000000000000001,0,370,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,lineage,0.75,0,370,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,lineage,0.8,0,370,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,lineage,0.8500000000000001,0,370,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,lineage,0.9,0,370,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,lineage,0.9500000000000001,0,370,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,lineage,1.0,0,370,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,xgboost,0.0,26,370,0.07027027027027027,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,xgboost,0.05,22,370,0.05945945945945946,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,xgboost,0.1,18,370,0.04864864864864865,Post-hoc radius scaling; not nominal interval coverage or an API policy
